iter	Passed	Remaining
742	3902	1349
743	3906	1344
744	3912	1339
745	3916	1333
746	3920	1327
747	3924	1322
748	3928	1316
749	3932	1310
750	3936	1305
751	3940	1299
752	3944	1293
753	3948	1288
754	3952	1282
755	3956	1276
756	3960	1271
757	3964	1265
758	3968	1260
759	3972	1254
760	3977	1249
761	3981	1243
762	3985	1237
763	3989	1232
764	3993	1226
765	3997	1221
766	4001	1215
767	4005	1209
768	4009	1204
769	4012	1198
770	4017	1193
771	4021	1187
772	4025	1182
773	4029	1176
774	4033	1170
775	4037	1165
776	4041	1159
777	4045	1154
778	4049	1148
779	4053	1143
780	4057	1137
781	4061	1132
782	4065	1126
783	4069	1121
784	4077	1116
785	4081	1111
786	4085	1105
787	4090	1100
788	4094	1094
789	4098	1089
790	4103	1084
791	4107	1078
792	4113	1073
793	4116	1068
794	4121	1062
795	4126	1057
796	4129	1051
797	4133	1046
798	4137	1040
799	4141	1035
800	4145	1029
801	4149	1024
802	4153	1018
803	4157	1013
804	4161	1008
805	4166	1002
806	4170	997
807	4175	992
808	4179	986
809	4183	981
810	4187	975
811	4192	970
812	4195	965
813	4200	959
814	4203	954
815	4207	948
816	4211	943
817	4215	937
818	4219	932
819	4222	926
820	4226	921
821	4229	915
822	4233	910
823	4237	905
824	4243	900
825	4246	894
826	4250	889
827	4254	883
828	4258	878
829	4262	873
830	4267	867
831	4271	862
832	4275	857
833	4279	851
834	4282	846
835	4286	840
836	4289	835
837	4293	829
838	4297	824
839	4301	819
840	4304	813
841	4308	808
842	4311	803
843	4315	797
844	4319	792
845	4322	786
846	4326	781
847	4330	776
848	4335	771
849	4343	766
850	4347	761
851	4353	756
852	4357	750
853	4361	745
854	4365	740
855	4369	735
856	4373	729
857	4379	724
858	4382	719
859	4390	714
860	4393	709
861	4397	704
862	4401	698
863	4406	693
864	4410	688
865	4414	683
866	4417	677
867	4422	672
868	4426	667
869	4430	662
870	4435	656
871	4439	651
872	4443	646
873	4446	641
874	4452	636
875	4456	630
876	4460	625
877	4464	620
878	4469	615
879	4475	610
880	4479	605
881	4483	599
882	4487	594
883	4491	589
884	4495	584
885	4499	578
886	4503	573
887	4507	568
888	4510	563
889	4514	557
890	4518	552
891	4522	547
892	4525	542
893	4529	537
894	4533	531
895	4536	526
896	4540	521
897	4544	516
898	4548	510
899	4551	505
900	4556	500
901	4559	495
902	4563	490
903	4567	485
904	4571	479
905	4575	474
906	4579	469
907	4583	464
908	4586	459
909	4591	454
910	4594	448
911	4599	443
912	4602	438
913	4607	433
914	4611	428
915	4614	423
916	4618	418
917	4622	412
918	4626	407
919	4631	402
920	4636	397
921	4639	392
922	4644	387
923	4648	382
924	4652	377
925	4657	372
926	4661	367
927	4669	362
928	4674	357
929	4678	352
930	4682	347
931	4686	341
932	4690	336
933	4694	331
934	4697	326
935	4701	321
936	4704	316
937	4707	311
938	4711	306
939	4714	300
940	4718	295
941	4721	290
942	4725	285
943	4729	280
944	4732	275
945	4737	270
946	4741	265
947	4746	260
948	4749	255
949	4753	250
950	4756	245
951	4760	240
952	4764	234
953	4768	229
954	4772	224
955	4775	219
956	4779	214
957	4783	209
958	4787	204
959	4790	199
960	4794	194
961	4798	189
962	4802	184
963	4805	179
964	4808	174
965	4812	169
966	4815	164
967	4819	159
968	4823	154
969	4826	149
970	4829	144
971	4833	139
972	4837	134
973	4840	129
974	4844	124
975	4849	119
976	4852	114
977	4856	109
978	4860	104
979	4863	99
980	4867	94
981	4871	89
982	4879	84
983	4883	79
984	4886	74
985	4890	69
986	4894	64
987	4898	59
988	4901	54
989	4905	49
990	4909	44
991	4913	39
992	4917	34
993	4922	29
994	4925	24
995	4929	19
996	4933	14
997	4937	9
998	4942	4
999	4947	0
